Code,Full_Title,Short_Title,Credits,Level,Aim,Department,Indicative_Content,Learning_Outcomes,Assessment_Criteria
A14182,Industrial Automation Systems,Industrial Automation Systems,5,Intermediate,"Industrial Automation Systems are pervasive in the Manufacturing and Service Industries. Systems vary from small turn-key systems to large integrated systems complete with Supervisory Control and Data acquisition/analysis. In this module, students will use industry-standard industrial controllers, networking and User-Interface technologies required to develop Automated Systems. Safety considerations will also be covered.",Computing and Mathematics,"Industrial Automation Systems: Overview; architectures; standards; development methodologies
Process specification and automation design
Programming, Commissioning and Testing of solutions to Automated Control problems
Integrating hardware and software based safety systems
Automation of systems using Analog Sensors and Transducers; Typically, involving closed-loop control
Human-Machine Interfacing, Supervisory Control and Data Acquisition and Networking","Appraise the characteristics, options and application of Industrial Automation Systems in batch and continuous process systems.
Analyse the hardware/interface requirements when controlling different categories of industrial process.
Develop embedded control software on Industry standard Industrial Control Systems.
Design, commission and test event-driven solutions to common Industrial Automation Processes.
Analyse the safety requirements of different Industrial Automation scenarios.
Use industry standard Human-Machine Interface and networking technologies.","<40%: Inability to demonstrate simple software and hardware designs from user requirements.
40%-49%: Able to specify interfacing and software requirements for simple discrete control systems.
50%-59%: In addition, be able to implement industrial controller based solutions for simple discrete control systems.
60%-69%: In addition, be able to develop optimised designs for a specific industrial control system.
70%-100%: In addition, combine self-directed research of Industrial Automation Systems in assessment work. Exhibit the ability to solve unforeseen problems through the use and modification of self-learned skills and tools."
A14221,Business Process Analysis and Design,Bus. Proc. Analysis & Design,10,Postgraduate,This module addresses the analysis and design of business processes. The module places emphasis on the role of information and information systems in business processes. The module introduces the student to modelling techniques for representing business process. It addresses methods to support the analysis and design of business processes and techniques for measuring the performance level of processes. The module includes techniques associated with lean and six-sigma approaches to process improvement.,Computing and Mathematics,"Overview of business process change
Business process management
Modelling organisations and processes
Business process analysis
Business process design
Process performance management
Business process management technologies","Justify the role of business process management within organisations.
Construct models using appropriate techniques to capture the nature of business process.
Select and apply appropriate analytic techniques to characterise business process performance.
Design business process using appropriate techniques.
Evaluate the role of information technologies in support of business processes.","<40%: Unable to interpret and describe key concepts of business process analysis and design.
40%-59%: Be able to describe and discuss key concepts of business process analysis and design and ability to discover and integrate related knowledge in other knowledge domains.
60%-69%: Be able to solve problems within business process analysis and design by experimenting with the appropriate skills and tools.
70%-100%: All the above to an excellent level. Be able to analyse and design solutions to a high standard for a range of both complex and unforeseen problems through the use and modification of appropriate skills and tools."
A14286,English as a Foreign Language: Advanced 1,EFL Advanced 1,5,Intermediate,"This module aims to facilitate language learning for non-native speakers of English at advanced level across the key skills of speaking, listening, reading, writing and cultural competence to an achievement level of CEFRL C1.1a (IELTS 7).",Arts,"Lexical Contexts covered may include - work; personality; family; language terminology; word building: abstract nouns; time.
Grammatical Features covered may include - discourse markers: linkers; the verb to have; pronouns; the past: narrative tenses, used to and would.
Discourse/Functions covered may include - writing a letter of application for employment; language of confidentiality; language used in the media (distancing); describing your personality & family traits; giving your opinion; formal & informal language : tone & register; talking about childhood.
Exercise Types - multiple-choice, gap-fill, close tests, word formation, sentence transformation, question and answer comprehensions, group definition activities, pairwork, information gap, anecdote descriptions, questionnaires, roleplays","Apply the language systems (lexis, grammar) and skills (productive and interactive) covered in the module to a range of spoken communications .
Deduce the meaning of a variety of short and extended aural texts within the lexical contexts covered in the module.
Assess a variety of text types within the lexical contexts covered in the module for general academic purposes, and employ those reading skills practised within the module.
Produce stylistically appropriate written texts demonstrating a command of the lexical and grammatical elements covered in the module.
Demonstrate appropriate awareness of cultural diversity based on class discussion and independent reflection.","70%+ = The student has demonstrated the ability to understand, produce, apply and manipulate the specified language areas at a proficient level. The student has evidenced a high degree of consistency and accuracy across the skills areas.
60-69% = The student has demonstrated the ability to understand, produce, apply and manipulate the specified language areas at a competent level. The student has evidenced consistency and accuracy across the skills areas.
50-59% = The student has demonstrated the ability to understand, produce, apply and manipulate the specified language areas at a functional level.The student has evidenced some consistency and accuracy, but has also evidenced some imbalance across the skills areas.
40-49% = The student has demonstrated the ability to understand, produce, apply and manipulate the specified language areas at a basic level. Only when presented with tasks that are highly structured in nature or when the knowledge is isolated has the student evidenced any consistency or accuracy. Significant imbalance is evident across the skills areas.
< 40% = The student has not demonstrated the ability to understand, produce, apply or manipulate the language at even a basic level in the skills areas."
A14301,English as a Foreign Language: Advanced 2,EFL Advanced 2,5,Intermediate,"This module aims to facilitate language learning for non-native speakers of English at Advanced level across the key skills of Speaking, Listening, Reading, Writing and Cultural Competence to an achievement level of CEFRL C1.1b (IELTS 7)",Arts,"Lexical Contexts covered may include - phrases with get; sounds and the human voice; describing books; money; history and warfare; compound adjectives.
Grammatical Features covered may include - the verb to get; speculation and deduction; adding emphasis: inversion; unreal use of past tenses; discourse markers (2): adverbs and adverbial expressions; verb + object + infinitive or gerund.
Discourse/Functions - writing an article for an online publication; expressing annoyance; describing books; emphasising; expressing regret; expressing preference; writing a review; polite requests.
Exercise Types - multiple-choice, gap-fill, close tests, word formation, sentence transformation, question and answer comprehensions, group definition activities, pairwork, information gap, anecdote descriptions, questionnaires, roleplays","Demonstrate a range of spoken skills exploiting the language systems (lexis, grammar) and skills (productive and interactive) covered in the module.
Determine the meaning of a variety of short and extended aural texts within the lexical contexts covered in the module.
Evaluate a variety of text types within the lexical contexts covered in the module, and employ those reading skills practised within the module.
Generate stylistically appropriate written texts demonstrating a command of the lexical and grammatical elements covered in the module.
Demonstrate appropriate awareness of cultural diversity based on class discussion and independent reflection.","70%+: The student has demonstrated the ability to understand, produce, apply and manipulate the specified language areas at a proficient level. The student has evidenced a high degree of consistency and accuracy across the skills areas.
60-69%: The student has demonstrated the ability to understand, produce, apply and manipulate the specified language areas at a competent level. The student has evidenced consistency and accuracy across the skills areas.
50-59%: The student has demonstrated the ability to understand, produce, apply and manipulate the specified language areas at a functional level. The student has evidenced some consistency and accuracy, but has also evidenced some imbalance across the skills areas.
40-49% The student has demonstrated the ability to understand, produce, apply and manipulate the specified language areas at a basic level. Only when presented with tasks that are highly structured in nature or when the knowledge is isolated has the student evidenced any consistency or accuracy. Significant imbalance is evident across the skills areas.
> 40% = The student has not demonstrated the ability to understand, produce, apply or manipulate the language at even a basic level in the skills areas."
A14321,Technology Entrepreneurship,Technology Entrepreneurship,5,Intermediate,"This module is designed to develop knowledge, skills and capabilities for the formulation and initiation of technology enterprises.The module will emphasize lean principles and analytics to enable the student to understand the process of building, testing and iterating to achieve product-market fit.The identification and design of business models and revenue models appropriate to technology enterprises will also form part of the module.",Computing and Mathematics,"Lean start-up principles
Lean analytics and metrics
Minimal viable product(MVP) design and testing
Defining and developing value propositions
Business model design
Revenue model design
Pitching to investors and customers","Describe the principles and practices of lean start-up.
Demonstrate the technology start-up process using lean principles.
Design business models and revenue models appropriate to different technology enterprises and their contexts.
Develop lean analytics and metrics to support decision making in the technology enterprise.
Demonstrate the process and usage of minimal viable product (MVP) design.
Articulate their technology enterprise concept in a business context.","<40%: Unable to interpret and describe key concepts relating to entrepreneurship. The student cannot explain basic concepts.
40%-49%: Be able to interpret and describe key concepts of entrepreneurship. The student gives basic but accurate explanations of tools and models but they are not supported with examples or case.
50%-59%: Ability to discuss key concepts of technology entrepreneurship and ability to discover and integrate related knowledge in other knowledge domains.The student gives accurate explanations of concepts with brief outlines of examples and cases.
60%-69%: Be able to solve problems within the technology entrepreneurship domain by using appropriate models and tools to aid analysis and decision making. The student explains concepts relating to technology entrepreneurship and links them to practice.
70%-100%: All the above to an excellent level.Be able to analyse, design and make decisions to a high standard for a range of both complex and unforeseen problems."
A14322,Artificial Intelligence,Artificial Intelligence,5,Advanced,"The purpose of this module is to introduce the student to the fundamental concepts of Artificial Intelligence. The student will be introduced to symbolic A.I., knowledge representation, search techniques and an A.I. programming paradigm.",Computing and Mathematics,"History of A.I: Introduction to problem characteristics; Historical and contemporary applications
Knowledge representation techniques: Trees; Productions; Frames; Semantic networks; Predicate calculus and theorem proving
Search: Un-informed; Bi-directional; Heuristic; Constraint based; Application domains
A.I. architectures: Planning and case based reasoning; Production systems; Rule based systems; Agent, reactive and blackboard systems; Non-monotonic systems; Neural networks; Natural language systems
Practical Programme: The student will exposed to A.I. problems in practical sessions using an A.I language such as Prolog","Appraise various knowledge representation techniques.
infer using the rules of logic as applied in predicate calculus.
Appraise different heuristic search techniques and their applications.
Construct programs in an Artificial Intelligence based language.","<40%: Unable to explain the principles of AI techniques for solving simple problems.
40%-49%: Able to explain the principles of AI techniques for solving simple problems.
50%-59%: Able to explain and apply AI techniques for solving problems.
60%-69%: Able to explain, choose and apply AI techniques for solving complex problems.
70%-100%: Able to critically choose, adapt and apply complex AI techniques for solving complex problems."
A14381,Supply Chain Integration Technologies,Supply Chain Integration Tech,10,Postgraduate,"This module addresses the role of information and information systems in support of supply chain management. The module explores the concepts of supply chains and networks, and its foundation disciplines. The module examines frameworks that support supply chain strategy, supply chain integration, and supply chain processes. The role of information in supporting the operation and management of supply chains is examined. The use of information systems to support supply chain operations and management through planning, control, and execution is investigated. The use of modern analytics and business intelligence approaches and tools within supply chains is explored. Approaches for the design of supply chain information systems architectures are also studied.",Computing and Mathematics,"Supply chains and networks
Supply chain strategy
Supply chain integration
Supply chain processes
Information sharing in supply chains
Supply chain information system architectures
Supply chain planning and control systems
Supply chain execution systems
Supply chain analytics and business intelligence","Evaluate the role of supply chains in meeting market demands.
Determine how the concepts of strategy, integration, and processes relate to the supply chain concept.
Justify the importance of information sharing to support supply chain integration at operational, tactical, and strategic levels.
Evaluate how information systems can assist in supply chain planning and execution.
Propose an analytics and business intelligence approach to support supply chain operations and management.
Design an information systems architecture to support a supply chain.","<40%: Unable to interpret and describe key concepts of supply chain integration technologies.
40%-59%: Be able to describe and discuss key concepts of supply chain integration technologies and ability to discover and integrate related knowledge in other knowledge domains.
60%-69%: Be able to solve problems within the supply chain integration technologies domains by experimenting with the appropriate skills and tools.
70%-100%: All the above to an excellent level. Be able to analyse and design solutions to a high standard for a range of both complex and unforeseen problems through the use and modification of appropriate skills and tools."
A14402,Farm Buildings,Farm Buildings,5,Intermediate,"This module is designed to give the student the theory and practice of basic farm building projects. Students will learn about building materials, how to plan a building project, and how to carry out basic construction and maintenance tasks associated with a farm building project.",Science,"Planning
Building materials
Component structures
Building and maintenance tasks
Plans","Determine the limitations that the planning laws and regulations place on farm developments.
Categorise materials used in farm building construction.
Complete safely, building and maintenance tasks in accordance with good environmental practices.
Interpret and read plans and specifications.
Distinguish good environmental practices in the construction of farm buildings.
Determine good practices and health in construction.","<40%: Very limited knowledge and understanding of the subject matter.
40%-49%: Will be able to show a basic knowledge of the key learning outcomes including a basic knowledge of planning laws and regulations, building materials and describe and apply good practices and health in construction.
50%-59%: As well as the above the student will be able to demonstrate an understanding of some of the complexities of the topics, describe and apply good environmental practices in the buildings workshop and demonstrate good building and maintenance ability.
60%-69%: In addition, the student will demonstrate more detailed knowledge of the all topics including a very good ability at building and maintenance.
70%-100%: The learner will be able to demonstrate comprehensive knowledge and understanding of all learning outcomes including an excellent ability at building and maintenance.
In addition to the normal regulations, a minimum of 35% must be achieved in both the final exam and continuous assessment components of the module. In cases where continuous assessment has a practical component attendance of at least 75% in the practicals is mandatory."
A14405,Beekeeping and Pollination Studies,Pollinators,5,Intermediate,"This module aims to equip students with the knowledge and skills associated with apiculture, commercial pollination of crops and natural pollination services.",Science,"The life cycle of the honey bee, bumble bee, other pollinators and their colonies
Apiary site selection criteria, annual management programmes.
Explanation of beekeeping equipment, assembly, and inspection of hives
Nutrition and food sources for pollinators
Criteria and methods of breeding
Pest, disease, poisons and habitats of bees and other pollinators
Key legislation, directives and action plans to protect pollinating species","Associate pollinator biology, pollinator health and potential challenges
Produce a plan outlining the management of a commercial apiary and protected pollinators.
Demonstrate routine skills associated with managing honey bees.
Compare the variety of forage crops for pollinators.
Compare attributes when selecting and breeding pollinators.
Relate the Sustainable Use of Pesticide Directive, and the current National Pollinator Action Plan to improved outcomes for pollinators.","<40%: Not able to identify 40% of pollinating insect castes and equipment, unable to describe management practices and applications, unable to assemble hive, and unable to describe suitable apiary sites.
40%-49%: Can identify at least 40% of pollinating insect castes and equipment, can describe management practices and application in industry, able to assemble hive, and describe suitable apiary sites.
50%-59%: All of above and can correctly identify at least 60% of pollinating insect castes and equipment, can describe suitable apiary sites and forage requirements.
60%-69%: All of the above with at least 70% of pollinating insect castes and equipment identified correctly.
70%-100%: All of the above and at least 80% of pollinating insect castes and equipment identified correctly.
In addition to the normal regulations, a minimum of 35% must be achieved in both the final exam and continuous assessment components of the module. In cases where continuous assessment has a practical component attendance of at least 75% in the practicals is mandatory."
R070899,German Language Level A2,German Language Level A2,5,Intermediate,,School of Humanities,,,
R130114,German Language Level A2.2,German Language Level A2.2,5,Intermediate,,School of Humanities,,,
R341705,German Language Level A1,German Language Level A1,5,Intermediate,,School of Humanities,,,
R352875,German B2.1,German B2.1,5,Intermediate,,School of Humanities,,,
R623434,German B1.3a,German B1.3a,5,Intermediate,,School of Humanities,,,
R665761,Content Language Integrated Learning (German),Content Language Integrated Learning (German),5,Intermediate,,School of Humanities,,,
R739150,German Language Level B2.2,German Language Level B2.2,5,Intermediate,,School of Humanities,,,
R783729,German Level B1.4,German Level B1.4,5,Intermediate,,School of Humanities,,,
R866816,German B1.4,German B1.4,5,Intermediate,,School of Humanities,,,
R927845,German Language Level A1.2,German Language Level A1.2,5,Intermediate,,School of Humanities,,,
R949930,German Language Level A1.1,German Language Level A1.1,5,Intermediate,,School of Humanities,,,
